name,description,nutrition
Milk Bikis,"<div class=""jss65"">Britania, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 507<!-- --> <span class=""jss67"">•</span>Carbs: 69g<!-- --> <span class=""jss67"">•</span>Fat: 23g<!-- --> <span class=""jss67"">•</span>Protein: 6g</div>"
Orange cream,"<div class=""jss65"">Britania treat, <!-- -->1<!-- --> <!-- -->buisciit</div>","<div class=""jss70"">Calories: 170<!-- --> <span class=""jss67"">•</span>Carbs: 22g<!-- --> <span class=""jss67"">•</span>Fat: 8g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Digestive Fibre Biscuit,"<div class=""jss65"">Nutichoice-britania-biscuit, <!-- -->1<!-- --> <!-- -->Piece</div>","<div class=""jss70"">Calories: 38<!-- --> <span class=""jss67"">•</span>Carbs: 5g<!-- --> <span class=""jss67"">•</span>Fat: 2g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Nutrichoice Oat Cookies ,"<div class=""jss65"">Britania, <!-- -->3<!-- --> <!-- -->cookies</div>","<div class=""jss70"">Calories: 110<!-- --> <span class=""jss67"">•</span>Carbs: 15g<!-- --> <span class=""jss67"">•</span>Fat: 5g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
milk bikis cream,"<div class=""jss65"">britania, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 498<!-- --> <span class=""jss67"">•</span>Carbs: 68g<!-- --> <span class=""jss67"">•</span>Fat: 22g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
daily fresh yoghurt,"<div class=""jss65"">Britania, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 112<!-- --> <span class=""jss67"">•</span>Carbs: 18g<!-- --> <span class=""jss67"">•</span>Fat: 3g<!-- --> <span class=""jss67"">•</span>Protein: 3g</div>"
Slimz - Cheese Spread,"<div class=""jss65"">Britania, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 188<!-- --> <span class=""jss67"">•</span>Carbs: 6g<!-- --> <span class=""jss67"">•</span>Fat: 13g<!-- --> <span class=""jss67"">•</span>Protein: 13g</div>"
NutriChoice Thin Arrowroot Biscuits ,"<div class=""jss65"">Britania, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 440<!-- --> <span class=""jss67"">•</span>Carbs: 0g<!-- --> <span class=""jss67"">•</span>Fat: 12g<!-- --> <span class=""jss67"">•</span>Protein: 8g</div>"
Top Buttery Bites,"<div class=""jss65"">Britania, <!-- -->2<!-- --> <!-- -->biscuits</div>","<div class=""jss70"">Calories: 49<!-- --> <span class=""jss67"">•</span>Carbs: 0g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Oat Cookies,"<div class=""jss65"">Britania Nutrichoice Oats Cookies, <!-- -->3<!-- --> <!-- -->piece</div>","<div class=""jss70"">Calories: 110<!-- --> <span class=""jss67"">•</span>Carbs: 15g<!-- --> <span class=""jss67"">•</span>Fat: 5g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Bourbon new chocolatier,"<div class=""jss65"">Britania, <!-- -->50<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 488<!-- --> <span class=""jss67"">•</span>Carbs: 72g<!-- --> <span class=""jss67"">•</span>Fat: 20g<!-- --> <span class=""jss67"">•</span>Protein: 5g</div>"
multi grain bread,"<div class=""jss65"">Britania, <!-- -->4<!-- --> <!-- -->Slice</div>","<div class=""jss70"">Calories: 260<!-- --> <span class=""jss67"">•</span>Carbs: 47g<!-- --> <span class=""jss67"">•</span>Fat: 4g<!-- --> <span class=""jss67"">•</span>Protein: 9g</div>"
Kulcha,"<div class=""jss65"">Britania Atta Kulcha, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 341<!-- --> <span class=""jss67"">•</span>Carbs: 56g<!-- --> <span class=""jss67"">•</span>Fat: 4g<!-- --> <span class=""jss67"">•</span>Protein: 9g</div>"
5 Grain Biscuits,"<div class=""jss65"">Britania - Nutri Choice, <!-- -->100<!-- --> <!-- -->grams - 2 mini packs (8 biscuits)</div>","<div class=""jss70"">Calories: 470<!-- --> <span class=""jss67"">•</span>Carbs: 66g<!-- --> <span class=""jss67"">•</span>Fat: 20g<!-- --> <span class=""jss67"">•</span>Protein: 8g</div>"
buzzy straberry,"<div class=""jss65"">Britania Treat, <!-- -->31<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 669<!-- --> <span class=""jss67"">•</span>Carbs: 21g<!-- --> <span class=""jss67"">•</span>Fat: 7g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
sandwich white bread,"<div class=""jss65"">britania, <!-- -->101<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 241<!-- --> <span class=""jss67"">•</span>Carbs: 51g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Treat creame wafers,"<div class=""jss65"">Britania, <!-- -->100<!-- --> <!-- -->gms</div>","<div class=""jss70"">Calories: 572<!-- --> <span class=""jss67"">•</span>Carbs: 59g<!-- --> <span class=""jss67"">•</span>Fat: 36g<!-- --> <span class=""jss67"">•</span>Protein: 3g</div>"
cream cheese nu,"<div class=""jss65"">britania, <!-- -->1<!-- --> <!-- -->gm</div>","<div class=""jss70"">Calories: 301<!-- --> <span class=""jss67"">•</span>Carbs: 3g<!-- --> <span class=""jss67"">•</span>Fat: 29g<!-- --> <span class=""jss67"">•</span>Protein: 8g</div>"
