name,description,nutrition
patanjali,"<div class=""jss65"">oats, <!-- -->3<!-- --> <!-- -->cups</div>","<div class=""jss70"">Calories: 411<!-- --> <span class=""jss67"">•</span>Carbs: 67g<!-- --> <span class=""jss67"">•</span>Fat: 11g<!-- --> <span class=""jss67"">•</span>Protein: 12g</div>"
Rice,"<div class=""jss65"">Patanjali, <!-- -->100<!-- --> <!-- -->gm</div>","<div class=""jss70"">Calories: 348<!-- --> <span class=""jss67"">•</span>Carbs: 78g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 8g</div>"
Chana,"<div class=""jss65"">Patanjali, <!-- -->1<!-- --> <!-- -->cup</div>","<div class=""jss70"">Calories: 359<!-- --> <span class=""jss67"">•</span>Carbs: 64g<!-- --> <span class=""jss67"">•</span>Fat: 4g<!-- --> <span class=""jss67"">•</span>Protein: 17g</div>"
vermicelli,"<div class=""jss65"">patanjali, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 385<!-- --> <span class=""jss67"">•</span>Carbs: 82g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 13g</div>"
Rusk,"<div class=""jss65"">Patanjali, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 444<!-- --> <span class=""jss67"">•</span>Carbs: 76g<!-- --> <span class=""jss67"">•</span>Fat: 11g<!-- --> <span class=""jss67"">•</span>Protein: 10g</div>"
Upma,"<div class=""jss65"">Patanjali, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 346<!-- --> <span class=""jss67"">•</span>Carbs: 77g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Patanjali,"<div class=""jss65"">rice, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 353<!-- --> <span class=""jss67"">•</span>Carbs: 79g<!-- --> <span class=""jss67"">•</span>Fat: 58g<!-- --> <span class=""jss67"">•</span>Protein: 8g</div>"
curd,"<div class=""jss65"">patanjali, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 64<!-- --> <span class=""jss67"">•</span>Carbs: 5g<!-- --> <span class=""jss67"">•</span>Fat: 3g<!-- --> <span class=""jss67"">•</span>Protein: 4g</div>"
Chaach,"<div class=""jss65"">Patanjali, <!-- -->101<!-- --> <!-- -->ml</div>","<div class=""jss70"">Calories: 28<!-- --> <span class=""jss67"">•</span>Carbs: 3g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Dal,"<div class=""jss65"">Patanjali, <!-- -->30<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 100<!-- --> <span class=""jss67"">•</span>Carbs: 18g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
