name,description,nutrition
Gingerbread Kids Cookie ,"<div class=""jss65"">Unibic, <!-- -->35<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 125<!-- --> <span class=""jss67"">•</span>Carbs: 25g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Chocolate Chip Biscotti,"<div class=""jss65"">Unibic, <!-- -->1<!-- --> <!-- -->biscuit (5.8g)</div>","<div class=""jss70"">Calories: 24<!-- --> <span class=""jss67"">•</span>Carbs: 4g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Honey Oatmeal Cookies,"<div class=""jss65"">Unibic, <!-- -->1<!-- --> <!-- -->NO</div>","<div class=""jss70"">Calories: 80<!-- --> <span class=""jss67"">•</span>Carbs: 12g<!-- --> <span class=""jss67"">•</span>Fat: 3g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Aniseed Cake - Anicini,"<div class=""jss65"">Unibic, <!-- -->21<!-- --> <!-- -->g (1 biscuit)</div>","<div class=""jss70"">Calories: 63<!-- --> <span class=""jss67"">•</span>Carbs: 13g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Gingerbread Kids (shell),"<div class=""jss65"">UNIBIC, <!-- -->35<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 129<!-- --> <span class=""jss67"">•</span>Carbs: 28g<!-- --> <span class=""jss67"">•</span>Fat: 1g<!-- --> <span class=""jss67"">•</span>Protein: 3g</div>"
chocolate cookies,"<div class=""jss65"">unibic, <!-- -->1<!-- --> <!-- -->packet</div>","<div class=""jss70"">Calories: 362<!-- --> <span class=""jss67"">•</span>Carbs: 45g<!-- --> <span class=""jss67"">•</span>Fat: 16g<!-- --> <span class=""jss67"">•</span>Protein: 4g</div>"
Oatmeal & Bran Cookies,"<div class=""jss65"">Unibic, <!-- -->1<!-- --> <!-- -->cookie</div>","<div class=""jss70"">Calories: 50<!-- --> <span class=""jss67"">•</span>Carbs: 6g<!-- --> <span class=""jss67"">•</span>Fat: 2g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Anzac biscuits mini,"<div class=""jss65"">Unibic, <!-- -->25<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 94<!-- --> <span class=""jss67"">•</span>Carbs: 14g<!-- --> <span class=""jss67"">•</span>Fat: 4g<!-- --> <span class=""jss67"">•</span>Protein: 1g</div>"
Choco Ripple Cookies,"<div class=""jss65"">Unibic, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 482<!-- --> <span class=""jss67"">•</span>Carbs: 68g<!-- --> <span class=""jss67"">•</span>Fat: 21g<!-- --> <span class=""jss67"">•</span>Protein: 6g</div>"
Sugarfree Oatmeal Cookies,"<div class=""jss65"">Unibic, <!-- -->100<!-- --> <!-- -->gm</div>","<div class=""jss70"">Calories: 488<!-- --> <span class=""jss67"">•</span>Carbs: 56g<!-- --> <span class=""jss67"">•</span>Fat: 27g<!-- --> <span class=""jss67"">•</span>Protein: 27g</div>"
