name,description,nutrition
Caesar,"<div class=""jss65"">Dukes, <!-- -->2<!-- --> <!-- -->Tbsp</div>","<div class=""jss70"">Calories: 90<!-- --> <span class=""jss67"">•</span>Carbs: 4g<!-- --> <span class=""jss67"">•</span>Fat: 8g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Geo,"<div class=""jss65"">Dukes, <!-- -->1<!-- --> <!-- -->Packet (4 Cookies)</div>","<div class=""jss70"">Calories: 200<!-- --> <span class=""jss67"">•</span>Carbs: 28g<!-- --> <span class=""jss67"">•</span>Fat: 8g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
pepperettes,"<div class=""jss65"">dukes, <!-- -->2<!-- --> <!-- -->units</div>","<div class=""jss70"">Calories: 120<!-- --> <span class=""jss67"">•</span>Carbs: 1g<!-- --> <span class=""jss67"">•</span>Fat: 10g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Waffers,"<div class=""jss65"">Dukes, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 490<!-- --> <span class=""jss67"">•</span>Carbs: 68g<!-- --> <span class=""jss67"">•</span>Fat: 23g<!-- --> <span class=""jss67"">•</span>Protein: 3g</div>"
Lewis_fresh_cut_french_fries,"<div class=""jss65"">Dukes, <!-- -->5.5<!-- --> <!-- -->oz</div>","<div class=""jss70"">Calories: 276<!-- --> <span class=""jss67"">•</span>Carbs: 25g<!-- --> <span class=""jss67"">•</span>Fat: 20g<!-- --> <span class=""jss67"">•</span>Protein: 3g</div>"
Pepperette,"<div class=""jss65"">Dukes, <!-- -->35<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 180<!-- --> <span class=""jss67"">•</span>Carbs: 2g<!-- --> <span class=""jss67"">•</span>Fat: 15g<!-- --> <span class=""jss67"">•</span>Protein: 10g</div>"
Biscoitos,"<div class=""jss65"">Dukes, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 463<!-- --> <span class=""jss67"">•</span>Carbs: 76g<!-- --> <span class=""jss67"">•</span>Fat: 15g<!-- --> <span class=""jss67"">•</span>Protein: 6g</div>"
Truffle,"<div class=""jss65"">Dukes, <!-- -->12<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 517<!-- --> <span class=""jss67"">•</span>Carbs: 66g<!-- --> <span class=""jss67"">•</span>Fat: 25g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Lewis_deep_fried_northern_whitefish,"<div class=""jss65"">Dukes, <!-- -->1<!-- --> <!-- -->Sandwich</div>","<div class=""jss70"">Calories: 210<!-- --> <span class=""jss67"">•</span>Carbs: 15g<!-- --> <span class=""jss67"">•</span>Fat: 11g<!-- --> <span class=""jss67"">•</span>Protein: 13g</div>"
Bbq,"<div class=""jss65"">Dukes, <!-- -->3<!-- --> <!-- -->sticks</div>","<div class=""jss70"">Calories: 170<!-- --> <span class=""jss67"">•</span>Carbs: 4g<!-- --> <span class=""jss67"">•</span>Fat: 13g<!-- --> <span class=""jss67"">•</span>Protein: 9g</div>"
