name,description,nutrition
Marie Biscuits,"<div class=""jss65"">Parle, <!-- -->8<!-- --> <!-- -->biscuits</div>","<div class=""jss70"">Calories: 180<!-- --> <span class=""jss67"">•</span>Carbs: 32g<!-- --> <span class=""jss67"">•</span>Fat: 4g<!-- --> <span class=""jss67"">•</span>Protein: 3g</div>"
Digestive Marie,"<div class=""jss65"">Parle, <!-- -->9<!-- --> <!-- -->Cookies</div>","<div class=""jss70"">Calories: 215<!-- --> <span class=""jss67"">•</span>Carbs: 38g<!-- --> <span class=""jss67"">•</span>Fat: 5g<!-- --> <span class=""jss67"">•</span>Protein: 4g</div>"
Biscuit,"<div class=""jss65"">Parle, <!-- -->75<!-- --> <!-- -->grams packet</div>","<div class=""jss70"">Calories: 504<!-- --> <span class=""jss67"">•</span>Carbs: 50g<!-- --> <span class=""jss67"">•</span>Fat: 17g<!-- --> <span class=""jss67"">•</span>Protein: 5g</div>"
Biscuits,"<div class=""jss65"">Parle Marie, <!-- -->11<!-- --> <!-- -->pieces</div>","<div class=""jss70"">Calories: 240<!-- --> <span class=""jss67"">•</span>Carbs: 43g<!-- --> <span class=""jss67"">•</span>Fat: 6g<!-- --> <span class=""jss67"">•</span>Protein: 4g</div>"
Elaichi Rusk,"<div class=""jss65"">Parle, <!-- -->100<!-- --> <!-- -->g</div>","<div class=""jss70"">Calories: 433<!-- --> <span class=""jss67"">•</span>Carbs: 81g<!-- --> <span class=""jss67"">•</span>Fat: 9g<!-- --> <span class=""jss67"">•</span>Protein: 8g</div>"
Cake,"<div class=""jss65"">Parle, <!-- -->1<!-- --> <!-- -->cup</div>","<div class=""jss70"">Calories: 413<!-- --> <span class=""jss67"">•</span>Carbs: 55g<!-- --> <span class=""jss67"">•</span>Fat: 19g<!-- --> <span class=""jss67"">•</span>Protein: 5g</div>"
Fab Biscuit,"<div class=""jss65"">Parle, <!-- -->9<!-- --> <!-- -->bicuit</div>","<div class=""jss70"">Calories: 500<!-- --> <span class=""jss67"">•</span>Carbs: 71g<!-- --> <span class=""jss67"">•</span>Fat: 22g<!-- --> <span class=""jss67"">•</span>Protein: 4g</div>"
Mango Bite,"<div class=""jss65"">Parle, <!-- -->100<!-- --> <!-- -->gm</div>","<div class=""jss70"">Calories: 390<!-- --> <span class=""jss67"">•</span>Carbs: 98g<!-- --> <span class=""jss67"">•</span>Fat: 0g<!-- --> <span class=""jss67"">•</span>Protein: 0g</div>"
Parle 2020 cashew cookies,"<div class=""jss65"">Parle, <!-- -->100<!-- --> <!-- -->gms</div>","<div class=""jss70"">Calories: 495<!-- --> <span class=""jss67"">•</span>Carbs: 47g<!-- --> <span class=""jss67"">•</span>Fat: 21g<!-- --> <span class=""jss67"">•</span>Protein: 7g</div>"
Original Gluco Biscuits/Bolacha Weight 60.5g,"<div class=""jss65"">Parle-g, <!-- -->5<!-- --> <!-- -->pieces</div>","<div class=""jss70"">Calories: 125<!-- --> <span class=""jss67"">•</span>Carbs: 21g<!-- --> <span class=""jss67"">•</span>Fat: 4g<!-- --> <span class=""jss67"">•</span>Protein: 2g</div>"
Digestive biscuits,"<div class=""jss65"">Parle, <!-- -->100<!-- --> <!-- -->gram</div>","<div class=""jss70"">Calories: 461<!-- --> <span class=""jss67"">•</span>Carbs: 64g<!-- --> <span class=""jss67"">•</span>Fat: 19g<!-- --> <span class=""jss67"">•</span>Protein: 8g</div>"
